slug,title,date,source,file,audience,hasFeaturedImage,hasInlineFigure,hasNotKentPolice,hasKeyTakeaways,hasSources,hasPublicCta,hasFirmPrimaryCta,hasRepKentLink,hasWixImage,faqFormat,wordCount
"police-station-rep-disclosure-1","Police Station Disclosure By Police Station Agent","2019-06-08","legacy","legacy-72","public","true","true","true","true","false","false","false","false","false","none","802"
"help-the-police-have-contacted-me-1","Help? The Police Have Contacted Me!","2019-10-17","legacy","legacy-71","public","true","true","true","true","false","false","false","false","false","none","762"
"have-to-attend-a-police-station-part-2-1","Have to attend a Police Station?  Part 2","2020-11-02","legacy","legacy-76","public","true","true","true","true","false","false","false","false","false","none","865"
"welcome-to-our-blog","Welcome to the Police Station Agent Blog","2024-01-15","legacy","legacy-91","public","true","true","true","true","false","false","false","false","false","none","773"
"what-is-a-duty-solicitor-4","What is a Duty Solicitor?","2025-01-21","legacy","legacy-65","public","true","true","true","true","false","false","false","false","false","none","763"
"demystifying-police-bail-understanding-imposition-conditions-breaches-and-legal-implications","Understanding Police Bail: Imposition, Conditions, Breaches, and Legal Implications Explained","2025-07-19","legacy","legacy-77","public","true","true","true","true","false","false","false","false","false","none","794"
"property-returned-from-police-uk","Getting Your Property Returned By The Police In The UK","2025-07-19","legacy","legacy-86","public","true","true","true","true","false","false","false","false","false","none","771"
"arrested-or-have-a-policewarrant-in-kent-here-s-what-you-need-to-know0","Understanding Police Warrants and Interviews in Kent","2025-08-24","legacy","legacy-67","public","true","true","true","true","false","false","false","false","false","none","879"
"what-happens-if-you-don-t-attend-a-voluntary-police-interview-inengland","What Happens If You Don't Attend a Voluntary Police Interview in England?","2025-08-27","legacy","legacy-63","public","true","true","true","true","false","false","false","false","false","none","828"
"whats-a-voluntary-police-interview","What's A Voluntary Police Interview?","2025-09-07","legacy","legacy-75","public","true","true","true","true","false","false","false","false","false","none","741"
"whats-a-duty-solicitor","Understanding the Role of a Duty Solicitor: Everything You Need to Know","2025-09-07","legacy","legacy-82","public","true","true","true","true","false","false","false","false","false","none","818"
"is-legal-advice-free-at-the-police-station","Can You Get Free Legal Advice at the Police Station?","2025-09-11","legacy","legacy-62","public","true","true","true","true","false","false","false","false","false","none","807"
"kent-police-stations-legal-representation-24-7","Complete Guide to Legal Representation at Kent Police Stations","2025-09-11","legacy","legacy-73","public","true","true","true","true","false","false","false","false","false","none","756"
"police-station-interview-rights-kent-legal-representation","What to Expect During a Police Station Interview in Kent: Your Rights and Legal Representation","2025-09-11","legacy","legacy-83","public","true","true","true","true","false","false","false","false","false","none","764"
"police-voluntary-interview-questions-4","Police Voluntary Interview Questions","2025-09-11","legacy","legacy-85","public","true","true","true","true","false","false","false","false","false","none","740"
"criminal-law-faq-kent-police-station-rights","Criminal Law FAQ: Your Rights and Legal Representation in Kent","2025-09-11","legacy","legacy-89","public","true","true","true","true","false","false","false","false","false","none","673"
"nofurtheractionafterpoliceinterview","No Further Action After Police Interview","2025-09-15","legacy","legacy-70","public","true","true","true","true","false","false","false","false","false","none","834"
"being-interviewed-by-the-police-why-you-need-a-criminal-solicitor-in-the-police-station","Why you need a criminal solicitor in the police station","2025-09-15","legacy","legacy-78","public","true","true","true","true","false","false","false","false","false","none","757"
"voluntaryinterviewwithpolice","Voluntary Interviews With Police","2025-09-16","legacy","legacy-69","public","true","true","true","true","false","false","false","false","false","none","794"
"what-happens-at-a-police-station-voluntary-interview-page-4","What happens at a police station voluntary interview","2025-09-16","legacy","legacy-87","public","true","true","true","true","false","false","false","false","false","none","798"
